Product ID,Product Line,Product Category,Product Group,Product Name,Supplier Country,Supplier Name,Supplier ID
210100100001,Children,Children Outdoors,"Outdoor things, Kids",Boy's and Girl's Ski Pants with Braces,NO,Scandinavian Clothing A/S,50
210100100002,Children,Children Outdoors,"Outdoor things, Kids",Children's Jacket,ES,Luna sastreria S.A.,4742
210100100003,Children,Children Outdoors,"Outdoor things, Kids",Children's Jacket Sidney,NO,Scandinavian Clothing A/S,50
210100100004,Children,Children Outdoors,"Outdoor things, Kids",Children's Rain Set,NO,Scandinavian Clothing A/S,50
210100100005,Children,Children Outdoors,"Outdoor things, Kids",Children's Rain Suit,NO,Scandinavian Clothing A/S,50
210100100006,Children,Children Outdoors,"Outdoor things, Kids",Rain Suit for Children,NO,Scandinavian Clothing A/S,50
210100100007,Children,Children Outdoors,"Outdoor things, Kids",Rain Suit,US,AllSeasons Outdoor Clothing,772
210100100008,Children,Children Outdoors,"Outdoor things, Kids",Rain Suit Tonado,NO,Scandinavian Clothing A/S,50
210100100009,Children,Children Outdoors,"Outdoor things, Kids",Ski Jacket Oliver,NO,Scandinavian Clothing A/S,50
210100100010,Children,Children Outdoors,"Outdoor things, Kids",Ski Jacket w/Removable Fleece,NO,Scandinavian Clothing A/S,50
210100100011,Children,Children Outdoors,"Outdoor things, Kids",Tiny Mouse Children's Mitten,SE,Svensson Trading AB,6355
210100100012,Children,Children Outdoors,"Outdoor things, Kids",4ce Ace Children's Jacket,NO,Scandinavian Clothing A/S,50
210100100013,Children,Children Outdoors,"Outdoor things, Kids",4ce Expedition Down Jacket,NO,Scandinavian Clothing A/S,50
210100100014,Children,Children Outdoors,"Outdoor things, Kids",4ce Filip Children's Rainwear,NO,Scandinavian Clothing A/S,50
210100100015,Children,Children Outdoors,"Outdoor things, Kids",4ce Grover Snow Jacket,NO,Scandinavian Clothing A/S,50
210100100016,Children,Children Outdoors,"Outdoor things, Kids",4ce Jaguar Snow Pants,NO,Scandinavian Clothing A/S,50
210100100017,Children,Children Outdoors,"Outdoor things, Kids",4ce Tiger Ski Jacket with Hood,NO,Scandinavian Clothing A/S,50
210100100018,Children,Children Outdoors,"Outdoor things, Kids",Amarone Children's Shorts,NO,Scandinavian Clothing A/S,50
210100100019,Children,Children Outdoors,"Outdoor things, Kids",Blondie Girl's Ski Jacket,NO,Scandinavian Clothing A/S,50
210100100020,Children,Children Outdoors,"Outdoor things, Kids",Dean Creek Children's Vest,NO,Scandinavian Clothing A/S,50
210100100021,Children,Children Outdoors,"Outdoor things, Kids",Down Children's Down Jacket,SE,Petterson AB,109
210100100022,Children,Children Outdoors,"Outdoor things, Kids",Down Children's Vest,SE,Petterson AB,109
210100100023,Children,Children Outdoors,"Outdoor things, Kids",Massif Freeride Jr.Gtx Gloves,FR,Massif S.A.,13199
210100100024,Children,Children Outdoors,"Outdoor things, Kids",Massif Penquin Polyester Socks,FR,Massif S.A.,13199
210100100025,Children,Children Outdoors,"Outdoor things, Kids",Monster Children's Pants with Zipper,NO,Scandinavian Clothing A/S,50
210100100026,Children,Children Outdoors,"Outdoor things, Kids",Montana Children's Gloves,SE,Svensson Trading AB,6355
210100100027,Children,Children Outdoors,"Outdoor things, Kids",Montana Children's mitten,SE,Svensson Trading AB,6355
210100100028,Children,Children Outdoors,"Outdoor things, Kids",Ranger Children's T-Shirt,NO,Scandinavian Clothing A/S,50
210100100029,Children,Children Outdoors,"Outdoor things, Kids",Scania Children's Gloves,SE,Svensson Trading AB,6355
210100100030,Children,Children Outdoors,"Outdoor things, Kids",Scania Goretex Junior Gloves,SE,Svensson Trading AB,6355
210100100031,Children,Children Outdoors,"Outdoor things, Kids",Tasmania Children's Shirt,NO,Scandinavian Clothing A/S,50
210100100032,Children,Children Outdoors,"Outdoor things, Kids",Tony's Nuptse Jacket,US,Miller Trading Inc,15218
210100100033,Children,Children Outdoors,"Outdoor things, Kids",Top Children's R&D Down Jacket,US,Top Sports Inc,14648
210100100034,Children,Children Outdoors,"Outdoor things, Kids","Top Children's R&D Jacket, Long",US,Top Sports Inc,14648
210100100035,Children,Children Outdoors,"Outdoor things, Kids",Top Children's R&D Pants,US,Top Sports Inc,14648
210100100036,Children,Children Outdoors,"Outdoor things, Kids",Top Children's Ski Pullover,US,Top Sports Inc,14648
210100100037,Children,Children Outdoors,"Outdoor things, Kids","Top Junior Fleece Hat, Polyester",US,Top Sports Inc,14648
210100100038,Children,Children Outdoors,"Outdoor things, Kids",Top Junior T-Neck Fleece,US,Top Sports Inc,14648
210100100039,Children,Children Outdoors,"Outdoor things, Kids",Twain Flash 100 Jr. Ski Gloves,US,Twain Inc,13198
210100100040,Children,Children Outdoors,"Outdoor things, Kids",11m Rain Jacket,US,AllSeasons Outdoor Clothing,772
210100100041,Children,Children Outdoors,"Outdoor things, Kids",11m Rain Pants,US,AllSeasons Outdoor Clothing,772
210100100042,Children,Children Outdoors,"Outdoor things, Kids",3 K Children's Shoes,US,3Top Sports,2963
210100100043,Children,Children Outdoors,"Outdoor things, Kids",3top Children's Shoes,US,3Top Sports,2963
210100100044,Children,Children Outdoors,"Outdoor things, Kids",3top Infant Baby Shoes,US,3Top Sports,2963
210100100045,Children,Children Outdoors,"Outdoor things, Kids",4goal 2 Trx Junior Football Boots,US,3Top Sports,2963
210100100046,Children,Children Outdoors,"Outdoor things, Kids",4goal Trx J Football Boots,US,3Top Sports,2963
210100100047,Children,Children Outdoors,"Outdoor things, Kids",Ana Mini Panty,ES,Luna sastreria S.A.,4742
210100100048,Children,Children Outdoors,"Outdoor things, Kids",Ana Shorts,ES,Luna sastreria S.A.,4742
210100100049,Children,Children Outdoors,"Outdoor things, Kids",Ana Top,ES,Luna sastreria S.A.,4742
210100100050,Children,Children Outdoors,"Outdoor things, Kids",Ancnw Children's Shoes,US,3Top Sports,2963
210200100001,Children,Children Sports,"A-Team, Kids",A-team Children's Shorts w/Pockets,US,A Team Sports,3298
