[2023-11-28T13:24:14.733+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL_Pipeline.transform_data scheduled__2023-11-27T00:00:00+00:00 [queued]>
[2023-11-28T13:24:14.741+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL_Pipeline.transform_data scheduled__2023-11-27T00:00:00+00:00 [queued]>
[2023-11-28T13:24:14.741+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 2
[2023-11-28T13:24:14.754+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): transform_data> on 2023-11-27 00:00:00+00:00
[2023-11-28T13:24:14.761+0000] {standard_task_runner.py:57} INFO - Started process 6762 to run task
[2023-11-28T13:24:14.764+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'ETL_Pipeline', 'transform_data', 'scheduled__2023-11-27T00:00:00+00:00', '--job-id', '523', '--raw', '--subdir', 'DAGS_FOLDER/ETL_Pipeline.py', '--cfg-path', '/tmp/tmps2vtm4o8']
[2023-11-28T13:24:14.766+0000] {standard_task_runner.py:85} INFO - Job 523: Subtask transform_data
[2023-11-28T13:24:14.805+0000] {task_command.py:416} INFO - Running <TaskInstance: ETL_Pipeline.transform_data scheduled__2023-11-27T00:00:00+00:00 [running]> on host 4012deabc79b
[2023-11-28T13:24:14.877+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ETL_Pipeline' AIRFLOW_CTX_TASK_ID='transform_data' AIRFLOW_CTX_EXECUTION_DATE='2023-11-27T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2023-11-27T00:00:00+00:00'
[2023-11-28T13:24:14.884+0000] {logging_mixin.py:154} WARNING - Scraping Progress:   0%|          | 0/669 [00:00<?, ?it/s]
[2023-11-28T13:24:18.579+0000] {scraper.py:38} INFO - Scraped data from URL: https://www.prothomalo.com/world/india/ung7if9ag3
[2023-11-28T13:24:18.581+0000] {logging_mixin.py:154} WARNING - Scraping Progress:   0%|          | 1/669 [00:03<41:09,  3.70s/it]
[2023-11-28T13:24:20.625+0000] {scraper.py:38} INFO - Scraped data from URL: https://www.prothomalo.com/world/pakistan/6m35nhdlyt
[2023-11-28T13:24:20.629+0000] {logging_mixin.py:154} WARNING - Scraping Progress:   0%|          | 2/669 [00:05<30:18,  2.73s/it]
[2023-11-28T13:55:12.094+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Read timed out. (read timeout=7) on URL https://www.prothomalo.com/bangladesh/2imev7ipnv
[2023-11-28T13:55:12.094+0000] {logging_mixin.py:154} WARNING - Scraping Progress:   0%|          | 3/669 [30:57<156:40:35, 846.90s/it]
[2023-11-28T13:55:12.099+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /world/middle-east/lyfalivwrx (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/world/middle-east/lyfalivwrx
[2023-11-28T13:55:12.103+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /politics/euw7u2i1k2 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/politics/euw7u2i1k2
[2023-11-28T13:55:12.105+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /world/middle-east/5cwljkisvd (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e970>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/world/middle-east/5cwljkisvd
[2023-11-28T13:55:12.107+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/fv0jea5vbr (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/fv0jea5vbr
[2023-11-28T13:55:12.108+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/mank6n8g9y (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/mank6n8g9y
[2023-11-28T13:55:12.110+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/capital/wu4etvy4dx (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e970>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/capital/wu4etvy4dx
[2023-11-28T13:55:12.111+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/qz9h7t5z5n (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e190>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/qz9h7t5z5n
[2023-11-28T13:55:12.112+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /entertainment/song/o7otn2tmv9 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e1c0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/entertainment/song/o7otn2tmv9
[2023-11-28T13:55:12.113+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/fk9ih02zyj (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/fk9ih02zyj
[2023-11-28T13:55:12.115+0000] {scraper.py:53} ERROR - Could not scrape data due to error: Article `download()` failed with HTTPSConnectionPool(host='www.prothomalo.com', port=443): Max retries exceeded with url: /bangladesh/hqrj9j5upl (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f42e819e190>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution')) on URL https://www.prothomalo.com/bangladesh/hqrj9j5upl
